"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-21 07:16:10",2023-11-21
"Blue Mountains Dams","84%","2023-11-21 07:16:10",2023-11-21
"Cataract Dam","68%","2023-11-21 07:16:10",2023-11-21
"Cordeaux Dam","64%","2023-11-21 07:16:10",2023-11-21
"Fitzroy Falls Reservoir","63%","2023-11-21 07:16:10",2023-11-21
"Nepean Dam","69%","2023-11-21 07:16:10",2023-11-21
"Prospect Reservoir","93%","2023-11-21 07:16:10",2023-11-21
"Tallowa Dam","0%","2023-11-21 07:16:10",2023-11-21
"Warragamba Dam","92%","2023-11-21 07:16:10",2023-11-21
"Wingecarribee Reservoir","59%","2023-11-21 07:16:10",2023-11-21
"Woronora Dam","90%","2023-11-21 07:16:10",2023-11-21
"How Much Rain have We had?","6.6MM","2023-11-21 07:16:10",2023-11-21
"How Much Water is in Our Dams?","87%","2023-11-21 07:16:10",2023-11-21
"How Much Water have we Used","1,473ML","2023-11-21 07:16:10",2023-11-21
