"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-08 07:15:00",2023-08-08
"Blue Mountains Dams","82%","2023-08-08 07:15:00",2023-08-08
"Cataract Dam","67%","2023-08-08 07:15:00",2023-08-08
"Cordeaux Dam","81%","2023-08-08 07:15:00",2023-08-08
"Fitzroy Falls Reservoir","67%","2023-08-08 07:15:00",2023-08-08
"Nepean Dam","73%","2023-08-08 07:15:00",2023-08-08
"Prospect Reservoir","92%","2023-08-08 07:15:00",2023-08-08
"Tallowa Dam","40%","2023-08-08 07:15:00",2023-08-08
"Warragamba Dam","95%","2023-08-08 07:15:00",2023-08-08
"Wingecarribee Reservoir","68%","2023-08-08 07:15:00",2023-08-08
"Woronora Dam","96%","2023-08-08 07:15:00",2023-08-08
"How Much Rain have We had?","0.1MM","2023-08-08 07:15:00",2023-08-08
"How Much Water is in Our Dams?","92%","2023-08-08 07:15:00",2023-08-08
"How Much Water have we Used","1,329ML","2023-08-08 07:15:00",2023-08-08
