"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-15 07:15:36",2023-09-15
"Blue Mountains Dams","87%","2023-09-15 07:15:36",2023-09-15
"Cataract Dam","66%","2023-09-15 07:15:36",2023-09-15
"Cordeaux Dam","72%","2023-09-15 07:15:36",2023-09-15
"Fitzroy Falls Reservoir","71%","2023-09-15 07:15:36",2023-09-15
"Nepean Dam","73%","2023-09-15 07:15:36",2023-09-15
"Prospect Reservoir","92%","2023-09-15 07:15:36",2023-09-15
"Tallowa Dam","8%","2023-09-15 07:15:36",2023-09-15
"Warragamba Dam","94%","2023-09-15 07:15:36",2023-09-15
"Wingecarribee Reservoir","66%","2023-09-15 07:15:36",2023-09-15
"Woronora Dam","93%","2023-09-15 07:15:36",2023-09-15
"How Much Rain have We had?","0.0MM","2023-09-15 07:15:36",2023-09-15
"How Much Water is in Our Dams?","91%","2023-09-15 07:15:36",2023-09-15
"How Much Water have we Used","1,450ML","2023-09-15 07:15:36",2023-09-15
