"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-08-31 07:15:49",2023-08-31
"Blue Mountains Dams","86%","2023-08-31 07:15:49",2023-08-31
"Cataract Dam","67%","2023-08-31 07:15:49",2023-08-31
"Cordeaux Dam","76%","2023-08-31 07:15:49",2023-08-31
"Fitzroy Falls Reservoir","74%","2023-08-31 07:15:49",2023-08-31
"Nepean Dam","73%","2023-08-31 07:15:49",2023-08-31
"Prospect Reservoir","93%","2023-08-31 07:15:49",2023-08-31
"Tallowa Dam","32%","2023-08-31 07:15:49",2023-08-31
"Warragamba Dam","95%","2023-08-31 07:15:49",2023-08-31
"Wingecarribee Reservoir","68%","2023-08-31 07:15:49",2023-08-31
"Woronora Dam","94%","2023-08-31 07:15:49",2023-08-31
"How Much Rain have We had?","2.2MM","2023-08-31 07:15:49",2023-08-31
"How Much Water is in Our Dams?","91%","2023-08-31 07:15:49",2023-08-31
"How Much Water have we Used","1,301ML","2023-08-31 07:15:49",2023-08-31
