"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-20 07:13:31",2023-08-20
"Blue Mountains Dams","85%","2023-08-20 07:13:31",2023-08-20
"Cataract Dam","67%","2023-08-20 07:13:31",2023-08-20
"Cordeaux Dam","78%","2023-08-20 07:13:31",2023-08-20
"Fitzroy Falls Reservoir","74%","2023-08-20 07:13:31",2023-08-20
"Nepean Dam","73%","2023-08-20 07:13:31",2023-08-20
"Prospect Reservoir","93%","2023-08-20 07:13:31",2023-08-20
"Tallowa Dam","44%","2023-08-20 07:13:31",2023-08-20
"Warragamba Dam","95%","2023-08-20 07:13:31",2023-08-20
"Wingecarribee Reservoir","68%","2023-08-20 07:13:31",2023-08-20
"Woronora Dam","95%","2023-08-20 07:13:31",2023-08-20
"How Much Rain have We had?","0.0MM","2023-08-20 07:13:31",2023-08-20
"How Much Water is in Our Dams?","92%","2023-08-20 07:13:31",2023-08-20
"How Much Water have we Used","1,275ML","2023-08-20 07:13:31",2023-08-20
