"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-01 07:04:40",2023-12-01
"Blue Mountains Dams","87%","2023-12-01 07:04:40",2023-12-01
"Cataract Dam","69%","2023-12-01 07:04:40",2023-12-01
"Cordeaux Dam","64%","2023-12-01 07:04:40",2023-12-01
"Fitzroy Falls Reservoir","68%","2023-12-01 07:04:40",2023-12-01
"Nepean Dam","71%","2023-12-01 07:04:40",2023-12-01
"Prospect Reservoir","89%","2023-12-01 07:04:40",2023-12-01
"Tallowa Dam","100%","2023-12-01 07:04:40",2023-12-01
"Warragamba Dam","92%","2023-12-01 07:04:40",2023-12-01
"Wingecarribee Reservoir","62%","2023-12-01 07:04:40",2023-12-01
"Woronora Dam","90%","2023-12-01 07:04:40",2023-12-01
"How Much Rain have We had?","2.9MM","2023-12-01 07:04:40",2023-12-01
"How Much Water is in Our Dams?","88%","2023-12-01 07:04:40",2023-12-01
"How Much Water have we Used","1,347ML","2023-12-01 07:04:40",2023-12-01
