"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-23 07:15:59",2023-10-23
"Blue Mountains Dams","84%","2023-10-23 07:15:59",2023-10-23
"Cataract Dam","66%","2023-10-23 07:15:59",2023-10-23
"Cordeaux Dam","66%","2023-10-23 07:15:59",2023-10-23
"Fitzroy Falls Reservoir","65%","2023-10-23 07:15:59",2023-10-23
"Nepean Dam","71%","2023-10-23 07:15:59",2023-10-23
"Prospect Reservoir","83%","2023-10-23 07:15:59",2023-10-23
"Tallowa Dam","9%","2023-10-23 07:15:59",2023-10-23
"Warragamba Dam","93%","2023-10-23 07:15:59",2023-10-23
"Wingecarribee Reservoir","63%","2023-10-23 07:15:59",2023-10-23
"Woronora Dam","91%","2023-10-23 07:15:59",2023-10-23
"How Much Rain have We had?","0.0MM","2023-10-23 07:15:59",2023-10-23
"How Much Water is in Our Dams?","89%","2023-10-23 07:15:59",2023-10-23
"How Much Water have we Used","9,560ML","2023-10-23 07:15:59",2023-10-23
