"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-14 07:16:01",2023-08-14
"Blue Mountains Dams","83%","2023-08-14 07:16:01",2023-08-14
"Cataract Dam","67%","2023-08-14 07:16:01",2023-08-14
"Cordeaux Dam","79%","2023-08-14 07:16:01",2023-08-14
"Fitzroy Falls Reservoir","74%","2023-08-14 07:16:01",2023-08-14
"Nepean Dam","73%","2023-08-14 07:16:01",2023-08-14
"Prospect Reservoir","92%","2023-08-14 07:16:01",2023-08-14
"Tallowa Dam","28%","2023-08-14 07:16:01",2023-08-14
"Warragamba Dam","95%","2023-08-14 07:16:01",2023-08-14
"Wingecarribee Reservoir","68%","2023-08-14 07:16:01",2023-08-14
"Woronora Dam","95%","2023-08-14 07:16:01",2023-08-14
"How Much Rain have We had?","13.6MM","2023-08-14 07:16:01",2023-08-14
"How Much Water is in Our Dams?","92%","2023-08-14 07:16:01",2023-08-14
"How Much Water have we Used","1,317ML","2023-08-14 07:16:01",2023-08-14
