"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-11 07:15:08",2023-08-11
"Blue Mountains Dams","83%","2023-08-11 07:15:08",2023-08-11
"Cataract Dam","67%","2023-08-11 07:15:08",2023-08-11
"Cordeaux Dam","80%","2023-08-11 07:15:08",2023-08-11
"Fitzroy Falls Reservoir","67%","2023-08-11 07:15:08",2023-08-11
"Nepean Dam","73%","2023-08-11 07:15:08",2023-08-11
"Prospect Reservoir","92%","2023-08-11 07:15:08",2023-08-11
"Tallowa Dam","39%","2023-08-11 07:15:08",2023-08-11
"Warragamba Dam","95%","2023-08-11 07:15:08",2023-08-11
"Wingecarribee Reservoir","68%","2023-08-11 07:15:08",2023-08-11
"Woronora Dam","95%","2023-08-11 07:15:08",2023-08-11
"How Much Rain have We had?","0.1MM","2023-08-11 07:15:08",2023-08-11
"How Much Water is in Our Dams?","92%","2023-08-11 07:15:08",2023-08-11
"How Much Water have we Used","1,298ML","2023-08-11 07:15:08",2023-08-11
