"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-14 07:11:39",2023-12-14
"Blue Mountains Dams","86%","2023-12-14 07:11:39",2023-12-14
"Cataract Dam","68%","2023-12-14 07:11:39",2023-12-14
"Cordeaux Dam","64%","2023-12-14 07:11:39",2023-12-14
"Fitzroy Falls Reservoir","65%","2023-12-14 07:11:39",2023-12-14
"Nepean Dam","72%","2023-12-14 07:11:39",2023-12-14
"Prospect Reservoir","87%","2023-12-14 07:11:39",2023-12-14
"Tallowa Dam","100%","2023-12-14 07:11:39",2023-12-14
"Warragamba Dam","92%","2023-12-14 07:11:39",2023-12-14
"Wingecarribee Reservoir","61%","2023-12-14 07:11:39",2023-12-14
"Woronora Dam","89%","2023-12-14 07:11:39",2023-12-14
"How Much Rain have We had?","4.4MM","2023-12-14 07:11:39",2023-12-14
"How Much Water is in Our Dams?","88%","2023-12-14 07:11:39",2023-12-14
"How Much Water have we Used","1,612ML","2023-12-14 07:11:39",2023-12-14
