"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-03 07:15:43",2023-10-03
"Blue Mountains Dams","86%","2023-10-03 07:15:43",2023-10-03
"Cataract Dam","66%","2023-10-03 07:15:43",2023-10-03
"Cordeaux Dam","69%","2023-10-03 07:15:43",2023-10-03
"Fitzroy Falls Reservoir","69%","2023-10-03 07:15:43",2023-10-03
"Nepean Dam","73%","2023-10-03 07:15:43",2023-10-03
"Prospect Reservoir","86%","2023-10-03 07:15:43",2023-10-03
"Tallowa Dam","11%","2023-10-03 07:15:43",2023-10-03
"Warragamba Dam","94%","2023-10-03 07:15:43",2023-10-03
"Wingecarribee Reservoir","64%","2023-10-03 07:15:43",2023-10-03
"Woronora Dam","92%","2023-10-03 07:15:43",2023-10-03
"How Much Rain have We had?","0.0MM","2023-10-03 07:15:43",2023-10-03
"How Much Water is in Our Dams?","90%","2023-10-03 07:15:43",2023-10-03
"How Much Water have we Used","1,428ML","2023-10-03 07:15:43",2023-10-03
