"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-09-01 07:15:09",2023-09-01
"Blue Mountains Dams","87%","2023-09-01 07:15:09",2023-09-01
"Cataract Dam","67%","2023-09-01 07:15:09",2023-09-01
"Cordeaux Dam","76%","2023-09-01 07:15:09",2023-09-01
"Fitzroy Falls Reservoir","73%","2023-09-01 07:15:09",2023-09-01
"Nepean Dam","73%","2023-09-01 07:15:09",2023-09-01
"Prospect Reservoir","93%","2023-09-01 07:15:09",2023-09-01
"Tallowa Dam","30%","2023-09-01 07:15:09",2023-09-01
"Warragamba Dam","95%","2023-09-01 07:15:09",2023-09-01
"Wingecarribee Reservoir","68%","2023-09-01 07:15:09",2023-09-01
"Woronora Dam","94%","2023-09-01 07:15:09",2023-09-01
"How Much Rain have We had?","0.0MM","2023-09-01 07:15:09",2023-09-01
"How Much Water is in Our Dams?","91%","2023-09-01 07:15:09",2023-09-01
"How Much Water have we Used","1,315ML","2023-09-01 07:15:09",2023-09-01
