"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-12 07:12:37",2023-12-12
"Blue Mountains Dams","87%","2023-12-12 07:12:37",2023-12-12
"Cataract Dam","68%","2023-12-12 07:12:37",2023-12-12
"Cordeaux Dam","64%","2023-12-12 07:12:37",2023-12-12
"Fitzroy Falls Reservoir","67%","2023-12-12 07:12:37",2023-12-12
"Nepean Dam","72%","2023-12-12 07:12:37",2023-12-12
"Prospect Reservoir","85%","2023-12-12 07:12:37",2023-12-12
"Tallowa Dam","100%","2023-12-12 07:12:37",2023-12-12
"Warragamba Dam","92%","2023-12-12 07:12:37",2023-12-12
"Wingecarribee Reservoir","61%","2023-12-12 07:12:37",2023-12-12
"Woronora Dam","90%","2023-12-12 07:12:37",2023-12-12
"How Much Rain have We had?","0.0MM","2023-12-12 07:12:37",2023-12-12
"How Much Water is in Our Dams?","88%","2023-12-12 07:12:37",2023-12-12
"How Much Water have we Used","1,543ML","2023-12-12 07:12:37",2023-12-12
