"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-05 07:15:51",2023-09-05
"Blue Mountains Dams","87%","2023-09-05 07:15:51",2023-09-05
"Cataract Dam","66%","2023-09-05 07:15:51",2023-09-05
"Cordeaux Dam","74%","2023-09-05 07:15:51",2023-09-05
"Fitzroy Falls Reservoir","73%","2023-09-05 07:15:51",2023-09-05
"Nepean Dam","73%","2023-09-05 07:15:51",2023-09-05
"Prospect Reservoir","92%","2023-09-05 07:15:51",2023-09-05
"Tallowa Dam","17%","2023-09-05 07:15:51",2023-09-05
"Warragamba Dam","95%","2023-09-05 07:15:51",2023-09-05
"Wingecarribee Reservoir","67%","2023-09-05 07:15:51",2023-09-05
"Woronora Dam","93%","2023-09-05 07:15:51",2023-09-05
"How Much Rain have We had?","0.5MM","2023-09-05 07:15:51",2023-09-05
"How Much Water is in Our Dams?","91%","2023-09-05 07:15:51",2023-09-05
"How Much Water have we Used","1,300ML","2023-09-05 07:15:51",2023-09-05
