"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-06 07:16:18",2023-11-06
"Blue Mountains Dams","84%","2023-11-06 07:16:18",2023-11-06
"Cataract Dam","68%","2023-11-06 07:16:18",2023-11-06
"Cordeaux Dam","66%","2023-11-06 07:16:18",2023-11-06
"Fitzroy Falls Reservoir","64%","2023-11-06 07:16:18",2023-11-06
"Nepean Dam","69%","2023-11-06 07:16:18",2023-11-06
"Prospect Reservoir","90%","2023-11-06 07:16:18",2023-11-06
"Tallowa Dam","0%","2023-11-06 07:16:18",2023-11-06
"Warragamba Dam","92%","2023-11-06 07:16:18",2023-11-06
"Wingecarribee Reservoir","61%","2023-11-06 07:16:18",2023-11-06
"Woronora Dam","91%","2023-11-06 07:16:18",2023-11-06
"How Much Rain have We had?","1.8MM","2023-11-06 07:16:18",2023-11-06
"How Much Water is in Our Dams?","88%","2023-11-06 07:16:18",2023-11-06
"How Much Water have we Used","1,581ML","2023-11-06 07:16:18",2023-11-06
