"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-24 07:16:44",2023-07-24
"Blue Mountains Dams","82%","2023-07-24 07:16:44",2023-07-24
"Cataract Dam","67%","2023-07-24 07:16:44",2023-07-24
"Cordeaux Dam","82%","2023-07-24 07:16:44",2023-07-24
"Fitzroy Falls Reservoir","64%","2023-07-24 07:16:44",2023-07-24
"Nepean Dam","75%","2023-07-24 07:16:44",2023-07-24
"Prospect Reservoir","92%","2023-07-24 07:16:44",2023-07-24
"Tallowa Dam","57%","2023-07-24 07:16:44",2023-07-24
"Warragamba Dam","96%","2023-07-24 07:16:44",2023-07-24
"Wingecarribee Reservoir","69%","2023-07-24 07:16:44",2023-07-24
"Woronora Dam","96%","2023-07-24 07:16:44",2023-07-24
"How Much Rain have We had?","0.0MM","2023-07-24 07:16:44",2023-07-24
"How Much Water is in Our Damns?","92%","2023-07-24 07:16:44",2023-07-24
"How Much Water have we Used","1,329ML","2023-07-24 07:16:44",2023-07-24
