"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-12-19 07:07:50",2023-12-19
"Blue Mountains Dams","86%","2023-12-19 07:07:50",2023-12-19
"Cataract Dam","67%","2023-12-19 07:07:50",2023-12-19
"Cordeaux Dam","63%","2023-12-19 07:07:50",2023-12-19
"Fitzroy Falls Reservoir","52%","2023-12-19 07:07:50",2023-12-19
"Nepean Dam","72%","2023-12-19 07:07:50",2023-12-19
"Prospect Reservoir","92%","2023-12-19 07:07:50",2023-12-19
"Tallowa Dam","100%","2023-12-19 07:07:50",2023-12-19
"Warragamba Dam","91%","2023-12-19 07:07:50",2023-12-19
"Wingecarribee Reservoir","60%","2023-12-19 07:07:50",2023-12-19
"Woronora Dam","89%","2023-12-19 07:07:50",2023-12-19
"How Much Rain have We had?","0.0MM","2023-12-19 07:07:50",2023-12-19
"How Much Water is in Our Dams?","87%","2023-12-19 07:07:50",2023-12-19
"How Much Water have we Used","1,614ML","2023-12-19 07:07:50",2023-12-19
