"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-12-18 07:08:29",2023-12-18
"Blue Mountains Dams","86%","2023-12-18 07:08:29",2023-12-18
"Cataract Dam","67%","2023-12-18 07:08:29",2023-12-18
"Cordeaux Dam","63%","2023-12-18 07:08:29",2023-12-18
"Fitzroy Falls Reservoir","52%","2023-12-18 07:08:29",2023-12-18
"Nepean Dam","72%","2023-12-18 07:08:29",2023-12-18
"Prospect Reservoir","91%","2023-12-18 07:08:29",2023-12-18
"Tallowa Dam","100%","2023-12-18 07:08:29",2023-12-18
"Warragamba Dam","91%","2023-12-18 07:08:29",2023-12-18
"Wingecarribee Reservoir","60%","2023-12-18 07:08:29",2023-12-18
"Woronora Dam","89%","2023-12-18 07:08:29",2023-12-18
"How Much Rain have We had?","0.0MM","2023-12-18 07:08:29",2023-12-18
"How Much Water is in Our Dams?","87%","2023-12-18 07:08:29",2023-12-18
"How Much Water have we Used","1,613ML","2023-12-18 07:08:29",2023-12-18
