"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-10 07:15:15",2023-10-10
"Blue Mountains Dams","87%","2023-10-10 07:15:15",2023-10-10
"Cataract Dam","66%","2023-10-10 07:15:15",2023-10-10
"Cordeaux Dam","67%","2023-10-10 07:15:15",2023-10-10
"Fitzroy Falls Reservoir","69%","2023-10-10 07:15:15",2023-10-10
"Nepean Dam","73%","2023-10-10 07:15:15",2023-10-10
"Prospect Reservoir","77%","2023-10-10 07:15:15",2023-10-10
"Tallowa Dam","13%","2023-10-10 07:15:15",2023-10-10
"Warragamba Dam","94%","2023-10-10 07:15:15",2023-10-10
"Wingecarribee Reservoir","64%","2023-10-10 07:15:15",2023-10-10
"Woronora Dam","92%","2023-10-10 07:15:15",2023-10-10
"How Much Rain have We had?","0.0MM","2023-10-10 07:15:15",2023-10-10
"How Much Water is in Our Dams?","90%","2023-10-10 07:15:15",2023-10-10
"How Much Water have we Used","1,491ML","2023-10-10 07:15:15",2023-10-10
