"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-29 07:15:52",2023-09-29
"Blue Mountains Dams","87%","2023-09-29 07:15:52",2023-09-29
"Cataract Dam","66%","2023-09-29 07:15:52",2023-09-29
"Cordeaux Dam","70%","2023-09-29 07:15:52",2023-09-29
"Fitzroy Falls Reservoir","70%","2023-09-29 07:15:52",2023-09-29
"Nepean Dam","73%","2023-09-29 07:15:52",2023-09-29
"Prospect Reservoir","91%","2023-09-29 07:15:52",2023-09-29
"Tallowa Dam","13%","2023-09-29 07:15:52",2023-09-29
"Warragamba Dam","94%","2023-09-29 07:15:52",2023-09-29
"Wingecarribee Reservoir","65%","2023-09-29 07:15:52",2023-09-29
"Woronora Dam","92%","2023-09-29 07:15:52",2023-09-29
"How Much Rain have We had?","0.0MM","2023-09-29 07:15:52",2023-09-29
"How Much Water is in Our Dams?","90%","2023-09-29 07:15:52",2023-09-29
"How Much Water have we Used","1,430ML","2023-09-29 07:15:52",2023-09-29
