"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-17 07:14:11",2023-09-17
"Blue Mountains Dams","87%","2023-09-17 07:14:11",2023-09-17
"Cataract Dam","66%","2023-09-17 07:14:11",2023-09-17
"Cordeaux Dam","72%","2023-09-17 07:14:11",2023-09-17
"Fitzroy Falls Reservoir","71%","2023-09-17 07:14:11",2023-09-17
"Nepean Dam","73%","2023-09-17 07:14:11",2023-09-17
"Prospect Reservoir","92%","2023-09-17 07:14:11",2023-09-17
"Tallowa Dam","11%","2023-09-17 07:14:11",2023-09-17
"Warragamba Dam","94%","2023-09-17 07:14:11",2023-09-17
"Wingecarribee Reservoir","65%","2023-09-17 07:14:11",2023-09-17
"Woronora Dam","92%","2023-09-17 07:14:11",2023-09-17
"How Much Rain have We had?","0.0MM","2023-09-17 07:14:11",2023-09-17
"How Much Water is in Our Dams?","91%","2023-09-17 07:14:11",2023-09-17
"How Much Water have we Used","1,497ML","2023-09-17 07:14:11",2023-09-17
