"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-26 07:15:10",2023-07-26
"Blue Mountains Dams","81%","2023-07-26 07:15:10",2023-07-26
"Cataract Dam","67%","2023-07-26 07:15:10",2023-07-26
"Cordeaux Dam","82%","2023-07-26 07:15:10",2023-07-26
"Fitzroy Falls Reservoir","66%","2023-07-26 07:15:10",2023-07-26
"Nepean Dam","75%","2023-07-26 07:15:10",2023-07-26
"Prospect Reservoir","92%","2023-07-26 07:15:10",2023-07-26
"Tallowa Dam","55%","2023-07-26 07:15:10",2023-07-26
"Warragamba Dam","96%","2023-07-26 07:15:10",2023-07-26
"Wingecarribee Reservoir","69%","2023-07-26 07:15:10",2023-07-26
"Woronora Dam","96%","2023-07-26 07:15:10",2023-07-26
"How Much Rain have We had?","0.0MM","2023-07-26 07:15:10",2023-07-26
"How Much Water is in Our Dams?","92%","2023-07-26 07:15:10",2023-07-26
"How Much Water have we Used","1,338ML","2023-07-26 07:15:10",2023-07-26
