"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-07 07:16:02",2023-08-07
"Blue Mountains Dams","82%","2023-08-07 07:16:02",2023-08-07
"Cataract Dam","67%","2023-08-07 07:16:02",2023-08-07
"Cordeaux Dam","81%","2023-08-07 07:16:02",2023-08-07
"Fitzroy Falls Reservoir","67%","2023-08-07 07:16:02",2023-08-07
"Nepean Dam","73%","2023-08-07 07:16:02",2023-08-07
"Prospect Reservoir","92%","2023-08-07 07:16:02",2023-08-07
"Tallowa Dam","40%","2023-08-07 07:16:02",2023-08-07
"Warragamba Dam","95%","2023-08-07 07:16:02",2023-08-07
"Wingecarribee Reservoir","68%","2023-08-07 07:16:02",2023-08-07
"Woronora Dam","96%","2023-08-07 07:16:02",2023-08-07
"How Much Rain have We had?","0.0MM","2023-08-07 07:16:02",2023-08-07
"How Much Water is in Our Dams?","92%","2023-08-07 07:16:02",2023-08-07
"How Much Water have we Used","1,357ML","2023-08-07 07:16:02",2023-08-07
