"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-09 07:16:14",2023-10-09
"Blue Mountains Dams","87%","2023-10-09 07:16:14",2023-10-09
"Cataract Dam","66%","2023-10-09 07:16:14",2023-10-09
"Cordeaux Dam","68%","2023-10-09 07:16:14",2023-10-09
"Fitzroy Falls Reservoir","69%","2023-10-09 07:16:14",2023-10-09
"Nepean Dam","73%","2023-10-09 07:16:14",2023-10-09
"Prospect Reservoir","78%","2023-10-09 07:16:14",2023-10-09
"Tallowa Dam","13%","2023-10-09 07:16:14",2023-10-09
"Warragamba Dam","94%","2023-10-09 07:16:14",2023-10-09
"Wingecarribee Reservoir","64%","2023-10-09 07:16:14",2023-10-09
"Woronora Dam","92%","2023-10-09 07:16:14",2023-10-09
"How Much Rain have We had?","0.0MM","2023-10-09 07:16:14",2023-10-09
"How Much Water is in Our Dams?","90%","2023-10-09 07:16:14",2023-10-09
"How Much Water have we Used","1,505ML","2023-10-09 07:16:14",2023-10-09
