"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-04 07:16:04",2023-11-04
"Blue Mountains Dams","83%","2023-11-04 07:16:04",2023-11-04
"Cataract Dam","65%","2023-11-04 07:16:04",2023-11-04
"Cordeaux Dam","65%","2023-11-04 07:16:04",2023-11-04
"Fitzroy Falls Reservoir","64%","2023-11-04 07:16:04",2023-11-04
"Nepean Dam","69%","2023-11-04 07:16:04",2023-11-04
"Prospect Reservoir","88%","2023-11-04 07:16:04",2023-11-04
"Tallowa Dam","0%","2023-11-04 07:16:04",2023-11-04
"Warragamba Dam","93%","2023-11-04 07:16:04",2023-11-04
"Wingecarribee Reservoir","61%","2023-11-04 07:16:04",2023-11-04
"Woronora Dam","90%","2023-11-04 07:16:04",2023-11-04
"How Much Rain have We had?","3.0MM","2023-11-04 07:16:04",2023-11-04
"How Much Water is in Our Dams?","88%","2023-11-04 07:16:04",2023-11-04
"How Much Water have we Used","1,590ML","2023-11-04 07:16:04",2023-11-04
