"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-11 07:15:58",2023-10-11
"Blue Mountains Dams","87%","2023-10-11 07:15:58",2023-10-11
"Cataract Dam","66%","2023-10-11 07:15:58",2023-10-11
"Cordeaux Dam","67%","2023-10-11 07:15:58",2023-10-11
"Fitzroy Falls Reservoir","69%","2023-10-11 07:15:58",2023-10-11
"Nepean Dam","73%","2023-10-11 07:15:58",2023-10-11
"Prospect Reservoir","75%","2023-10-11 07:15:58",2023-10-11
"Tallowa Dam","13%","2023-10-11 07:15:58",2023-10-11
"Warragamba Dam","94%","2023-10-11 07:15:58",2023-10-11
"Wingecarribee Reservoir","64%","2023-10-11 07:15:58",2023-10-11
"Woronora Dam","92%","2023-10-11 07:15:58",2023-10-11
"How Much Rain have We had?","0.1MM","2023-10-11 07:15:58",2023-10-11
"How Much Water is in Our Dams?","90%","2023-10-11 07:15:58",2023-10-11
"How Much Water have we Used","1,493ML","2023-10-11 07:15:58",2023-10-11
