"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-10-31 07:15:47",2023-10-31
"Blue Mountains Dams","84%","2023-10-31 07:15:47",2023-10-31
"Cataract Dam","65%","2023-10-31 07:15:47",2023-10-31
"Cordeaux Dam","65%","2023-10-31 07:15:47",2023-10-31
"Fitzroy Falls Reservoir","64%","2023-10-31 07:15:47",2023-10-31
"Nepean Dam","70%","2023-10-31 07:15:47",2023-10-31
"Prospect Reservoir","84%","2023-10-31 07:15:47",2023-10-31
"Tallowa Dam","0%","2023-10-31 07:15:47",2023-10-31
"Warragamba Dam","93%","2023-10-31 07:15:47",2023-10-31
"Wingecarribee Reservoir","61%","2023-10-31 07:15:47",2023-10-31
"Woronora Dam","90%","2023-10-31 07:15:47",2023-10-31
"How Much Rain have We had?","0.0MM","2023-10-31 07:15:47",2023-10-31
"How Much Water is in Our Dams?","88%","2023-10-31 07:15:47",2023-10-31
"How Much Water have we Used","1,592ML","2023-10-31 07:15:47",2023-10-31
