"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-14 07:16:13",2023-11-14
"Blue Mountains Dams","84%","2023-11-14 07:16:13",2023-11-14
"Cataract Dam","68%","2023-11-14 07:16:13",2023-11-14
"Cordeaux Dam","65%","2023-11-14 07:16:13",2023-11-14
"Fitzroy Falls Reservoir","64%","2023-11-14 07:16:13",2023-11-14
"Nepean Dam","69%","2023-11-14 07:16:13",2023-11-14
"Prospect Reservoir","96%","2023-11-14 07:16:13",2023-11-14
"Tallowa Dam","0%","2023-11-14 07:16:13",2023-11-14
"Warragamba Dam","92%","2023-11-14 07:16:13",2023-11-14
"Wingecarribee Reservoir","60%","2023-11-14 07:16:13",2023-11-14
"Woronora Dam","91%","2023-11-14 07:16:13",2023-11-14
"How Much Rain have We had?","0.0MM","2023-11-14 07:16:13",2023-11-14
"How Much Water is in Our Dams?","88%","2023-11-14 07:16:13",2023-11-14
"How Much Water have we Used","1,405ML","2023-11-14 07:16:13",2023-11-14
