"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-18 07:14:44",2023-08-18
"Blue Mountains Dams","85%","2023-08-18 07:14:44",2023-08-18
"Cataract Dam","67%","2023-08-18 07:14:44",2023-08-18
"Cordeaux Dam","78%","2023-08-18 07:14:44",2023-08-18
"Fitzroy Falls Reservoir","74%","2023-08-18 07:14:44",2023-08-18
"Nepean Dam","73%","2023-08-18 07:14:44",2023-08-18
"Prospect Reservoir","93%","2023-08-18 07:14:44",2023-08-18
"Tallowa Dam","40%","2023-08-18 07:14:44",2023-08-18
"Warragamba Dam","95%","2023-08-18 07:14:44",2023-08-18
"Wingecarribee Reservoir","68%","2023-08-18 07:14:44",2023-08-18
"Woronora Dam","95%","2023-08-18 07:14:44",2023-08-18
"How Much Rain have We had?","4.2MM","2023-08-18 07:14:44",2023-08-18
"How Much Water is in Our Dams?","92%","2023-08-18 07:14:44",2023-08-18
"How Much Water have we Used","1,307ML","2023-08-18 07:14:44",2023-08-18
