"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-16 07:14:15",2023-09-16
"Blue Mountains Dams","87%","2023-09-16 07:14:15",2023-09-16
"Cataract Dam","66%","2023-09-16 07:14:15",2023-09-16
"Cordeaux Dam","72%","2023-09-16 07:14:15",2023-09-16
"Fitzroy Falls Reservoir","71%","2023-09-16 07:14:15",2023-09-16
"Nepean Dam","73%","2023-09-16 07:14:15",2023-09-16
"Prospect Reservoir","92%","2023-09-16 07:14:15",2023-09-16
"Tallowa Dam","8%","2023-09-16 07:14:15",2023-09-16
"Warragamba Dam","94%","2023-09-16 07:14:15",2023-09-16
"Wingecarribee Reservoir","65%","2023-09-16 07:14:15",2023-09-16
"Woronora Dam","93%","2023-09-16 07:14:15",2023-09-16
"How Much Rain have We had?","0.0MM","2023-09-16 07:14:15",2023-09-16
"How Much Water is in Our Dams?","91%","2023-09-16 07:14:15",2023-09-16
"How Much Water have we Used","1,443ML","2023-09-16 07:14:15",2023-09-16
