"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-07 07:15:21",2023-09-07
"Blue Mountains Dams","87%","2023-09-07 07:15:21",2023-09-07
"Cataract Dam","66%","2023-09-07 07:15:21",2023-09-07
"Cordeaux Dam","74%","2023-09-07 07:15:21",2023-09-07
"Fitzroy Falls Reservoir","72%","2023-09-07 07:15:21",2023-09-07
"Nepean Dam","73%","2023-09-07 07:15:21",2023-09-07
"Prospect Reservoir","92%","2023-09-07 07:15:21",2023-09-07
"Tallowa Dam","13%","2023-09-07 07:15:21",2023-09-07
"Warragamba Dam","94%","2023-09-07 07:15:21",2023-09-07
"Wingecarribee Reservoir","66%","2023-09-07 07:15:21",2023-09-07
"Woronora Dam","93%","2023-09-07 07:15:21",2023-09-07
"How Much Rain have We had?","0.0MM","2023-09-07 07:15:21",2023-09-07
"How Much Water is in Our Dams?","91%","2023-09-07 07:15:21",2023-09-07
"How Much Water have we Used","1,338ML","2023-09-07 07:15:21",2023-09-07
