"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-10 07:15:11",2023-11-10
"Blue Mountains Dams","84%","2023-11-10 07:15:11",2023-11-10
"Cataract Dam","68%","2023-11-10 07:15:11",2023-11-10
"Cordeaux Dam","65%","2023-11-10 07:15:11",2023-11-10
"Fitzroy Falls Reservoir","65%","2023-11-10 07:15:11",2023-11-10
"Nepean Dam","69%","2023-11-10 07:15:11",2023-11-10
"Prospect Reservoir","95%","2023-11-10 07:15:11",2023-11-10
"Tallowa Dam","0%","2023-11-10 07:15:11",2023-11-10
"Warragamba Dam","92%","2023-11-10 07:15:11",2023-11-10
"Wingecarribee Reservoir","60%","2023-11-10 07:15:11",2023-11-10
"Woronora Dam","91%","2023-11-10 07:15:11",2023-11-10
"How Much Rain have We had?","12.9MM","2023-11-10 07:15:11",2023-11-10
"How Much Water is in Our Dams?","88%","2023-11-10 07:15:11",2023-11-10
"How Much Water have we Used","1,407ML","2023-11-10 07:15:11",2023-11-10
