"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-08 07:14:59",2023-09-08
"Blue Mountains Dams","87%","2023-09-08 07:14:59",2023-09-08
"Cataract Dam","66%","2023-09-08 07:14:59",2023-09-08
"Cordeaux Dam","74%","2023-09-08 07:14:59",2023-09-08
"Fitzroy Falls Reservoir","72%","2023-09-08 07:14:59",2023-09-08
"Nepean Dam","73%","2023-09-08 07:14:59",2023-09-08
"Prospect Reservoir","92%","2023-09-08 07:14:59",2023-09-08
"Tallowa Dam","12%","2023-09-08 07:14:59",2023-09-08
"Warragamba Dam","94%","2023-09-08 07:14:59",2023-09-08
"Wingecarribee Reservoir","66%","2023-09-08 07:14:59",2023-09-08
"Woronora Dam","93%","2023-09-08 07:14:59",2023-09-08
"How Much Rain have We had?","0.0MM","2023-09-08 07:14:59",2023-09-08
"How Much Water is in Our Dams?","91%","2023-09-08 07:14:59",2023-09-08
"How Much Water have we Used","1,315ML","2023-09-08 07:14:59",2023-09-08
