"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-05 07:12:33",2023-12-05
"Blue Mountains Dams","88%","2023-12-05 07:12:33",2023-12-05
"Cataract Dam","70%","2023-12-05 07:12:33",2023-12-05
"Cordeaux Dam","65%","2023-12-05 07:12:33",2023-12-05
"Fitzroy Falls Reservoir","68%","2023-12-05 07:12:33",2023-12-05
"Nepean Dam","72%","2023-12-05 07:12:33",2023-12-05
"Prospect Reservoir","87%","2023-12-05 07:12:33",2023-12-05
"Tallowa Dam","100%","2023-12-05 07:12:33",2023-12-05
"Warragamba Dam","92%","2023-12-05 07:12:33",2023-12-05
"Wingecarribee Reservoir","62%","2023-12-05 07:12:33",2023-12-05
"Woronora Dam","90%","2023-12-05 07:12:33",2023-12-05
"How Much Rain have We had?","1.9MM","2023-12-05 07:12:33",2023-12-05
"How Much Water is in Our Dams?","88%","2023-12-05 07:12:33",2023-12-05
"How Much Water have we Used","1,355ML","2023-12-05 07:12:33",2023-12-05
