"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-08-30 07:15:45",2023-08-30
"Blue Mountains Dams","86%","2023-08-30 07:15:45",2023-08-30
"Cataract Dam","67%","2023-08-30 07:15:45",2023-08-30
"Cordeaux Dam","76%","2023-08-30 07:15:45",2023-08-30
"Fitzroy Falls Reservoir","74%","2023-08-30 07:15:45",2023-08-30
"Nepean Dam","73%","2023-08-30 07:15:45",2023-08-30
"Prospect Reservoir","93%","2023-08-30 07:15:45",2023-08-30
"Tallowa Dam","32%","2023-08-30 07:15:45",2023-08-30
"Warragamba Dam","95%","2023-08-30 07:15:45",2023-08-30
"Wingecarribee Reservoir","68%","2023-08-30 07:15:45",2023-08-30
"Woronora Dam","94%","2023-08-30 07:15:45",2023-08-30
"How Much Rain have We had?","0.0MM","2023-08-30 07:15:45",2023-08-30
"How Much Water is in Our Dams?","91%","2023-08-30 07:15:45",2023-08-30
"How Much Water have we Used","10,033ML","2023-08-30 07:15:45",2023-08-30
