"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-03 07:15:11",2023-08-03
"Blue Mountains Dams","82%","2023-08-03 07:15:11",2023-08-03
"Cataract Dam","67%","2023-08-03 07:15:11",2023-08-03
"Cordeaux Dam","81%","2023-08-03 07:15:11",2023-08-03
"Fitzroy Falls Reservoir","63%","2023-08-03 07:15:11",2023-08-03
"Nepean Dam","74%","2023-08-03 07:15:11",2023-08-03
"Prospect Reservoir","92%","2023-08-03 07:15:11",2023-08-03
"Tallowa Dam","45%","2023-08-03 07:15:11",2023-08-03
"Warragamba Dam","96%","2023-08-03 07:15:11",2023-08-03
"Wingecarribee Reservoir","68%","2023-08-03 07:15:11",2023-08-03
"Woronora Dam","95%","2023-08-03 07:15:11",2023-08-03
"How Much Rain have We had?","0.2MM","2023-08-03 07:15:11",2023-08-03
"How Much Water is in Our Dams?","92%","2023-08-03 07:15:11",2023-08-03
"How Much Water have we Used","1,359ML","2023-08-03 07:15:11",2023-08-03
