"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-15 07:11:44",2023-12-15
"Blue Mountains Dams","86%","2023-12-15 07:11:44",2023-12-15
"Cataract Dam","68%","2023-12-15 07:11:44",2023-12-15
"Cordeaux Dam","64%","2023-12-15 07:11:44",2023-12-15
"Fitzroy Falls Reservoir","63%","2023-12-15 07:11:44",2023-12-15
"Nepean Dam","72%","2023-12-15 07:11:44",2023-12-15
"Prospect Reservoir","88%","2023-12-15 07:11:44",2023-12-15
"Tallowa Dam","100%","2023-12-15 07:11:44",2023-12-15
"Warragamba Dam","91%","2023-12-15 07:11:44",2023-12-15
"Wingecarribee Reservoir","61%","2023-12-15 07:11:44",2023-12-15
"Woronora Dam","89%","2023-12-15 07:11:44",2023-12-15
"How Much Rain have We had?","0.1MM","2023-12-15 07:11:44",2023-12-15
"How Much Water is in Our Dams?","88%","2023-12-15 07:11:44",2023-12-15
"How Much Water have we Used","1,604ML","2023-12-15 07:11:44",2023-12-15
