"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-18 07:15:59",2023-09-18
"Blue Mountains Dams","87%","2023-09-18 07:15:59",2023-09-18
"Cataract Dam","66%","2023-09-18 07:15:59",2023-09-18
"Cordeaux Dam","72%","2023-09-18 07:15:59",2023-09-18
"Fitzroy Falls Reservoir","70%","2023-09-18 07:15:59",2023-09-18
"Nepean Dam","73%","2023-09-18 07:15:59",2023-09-18
"Prospect Reservoir","92%","2023-09-18 07:15:59",2023-09-18
"Tallowa Dam","12%","2023-09-18 07:15:59",2023-09-18
"Warragamba Dam","94%","2023-09-18 07:15:59",2023-09-18
"Wingecarribee Reservoir","65%","2023-09-18 07:15:59",2023-09-18
"Woronora Dam","92%","2023-09-18 07:15:59",2023-09-18
"How Much Rain have We had?","0.0MM","2023-09-18 07:15:59",2023-09-18
"How Much Water is in Our Dams?","91%","2023-09-18 07:15:59",2023-09-18
"How Much Water have we Used","1,531ML","2023-09-18 07:15:59",2023-09-18
