"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-16 07:15:23",2023-08-16
"Blue Mountains Dams","84%","2023-08-16 07:15:23",2023-08-16
"Cataract Dam","67%","2023-08-16 07:15:23",2023-08-16
"Cordeaux Dam","79%","2023-08-16 07:15:23",2023-08-16
"Fitzroy Falls Reservoir","74%","2023-08-16 07:15:23",2023-08-16
"Nepean Dam","73%","2023-08-16 07:15:23",2023-08-16
"Prospect Reservoir","93%","2023-08-16 07:15:23",2023-08-16
"Tallowa Dam","38%","2023-08-16 07:15:23",2023-08-16
"Warragamba Dam","95%","2023-08-16 07:15:23",2023-08-16
"Wingecarribee Reservoir","68%","2023-08-16 07:15:23",2023-08-16
"Woronora Dam","95%","2023-08-16 07:15:23",2023-08-16
"How Much Rain have We had?","0.2MM","2023-08-16 07:15:23",2023-08-16
"How Much Water is in Our Dams?","92%","2023-08-16 07:15:23",2023-08-16
"How Much Water have we Used","1,293ML","2023-08-16 07:15:23",2023-08-16
