"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-09 07:15:38",2023-08-09
"Blue Mountains Dams","83%","2023-08-09 07:15:38",2023-08-09
"Cataract Dam","67%","2023-08-09 07:15:38",2023-08-09
"Cordeaux Dam","81%","2023-08-09 07:15:38",2023-08-09
"Fitzroy Falls Reservoir","65%","2023-08-09 07:15:38",2023-08-09
"Nepean Dam","73%","2023-08-09 07:15:38",2023-08-09
"Prospect Reservoir","92%","2023-08-09 07:15:38",2023-08-09
"Tallowa Dam","44%","2023-08-09 07:15:38",2023-08-09
"Warragamba Dam","95%","2023-08-09 07:15:38",2023-08-09
"Wingecarribee Reservoir","68%","2023-08-09 07:15:38",2023-08-09
"Woronora Dam","95%","2023-08-09 07:15:38",2023-08-09
"How Much Rain have We had?","0.0MM","2023-08-09 07:15:38",2023-08-09
"How Much Water is in Our Dams?","92%","2023-08-09 07:15:38",2023-08-09
"How Much Water have we Used","1,333ML","2023-08-09 07:15:38",2023-08-09
