"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-06 07:15:50",2023-09-06
"Blue Mountains Dams","87%","2023-09-06 07:15:50",2023-09-06
"Cataract Dam","66%","2023-09-06 07:15:50",2023-09-06
"Cordeaux Dam","74%","2023-09-06 07:15:50",2023-09-06
"Fitzroy Falls Reservoir","72%","2023-09-06 07:15:50",2023-09-06
"Nepean Dam","73%","2023-09-06 07:15:50",2023-09-06
"Prospect Reservoir","92%","2023-09-06 07:15:50",2023-09-06
"Tallowa Dam","17%","2023-09-06 07:15:50",2023-09-06
"Warragamba Dam","94%","2023-09-06 07:15:50",2023-09-06
"Wingecarribee Reservoir","66%","2023-09-06 07:15:50",2023-09-06
"Woronora Dam","93%","2023-09-06 07:15:50",2023-09-06
"How Much Rain have We had?","0.0MM","2023-09-06 07:15:50",2023-09-06
"How Much Water is in Our Dams?","91%","2023-09-06 07:15:50",2023-09-06
"How Much Water have we Used","1,290ML","2023-09-06 07:15:50",2023-09-06
