"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-24 07:13:58",2023-09-24
"Blue Mountains Dams","87%","2023-09-24 07:13:58",2023-09-24
"Cataract Dam","66%","2023-09-24 07:13:58",2023-09-24
"Cordeaux Dam","71%","2023-09-24 07:13:58",2023-09-24
"Fitzroy Falls Reservoir","70%","2023-09-24 07:13:58",2023-09-24
"Nepean Dam","73%","2023-09-24 07:13:58",2023-09-24
"Prospect Reservoir","95%","2023-09-24 07:13:58",2023-09-24
"Tallowa Dam","20%","2023-09-24 07:13:58",2023-09-24
"Warragamba Dam","94%","2023-09-24 07:13:58",2023-09-24
"Wingecarribee Reservoir","65%","2023-09-24 07:13:58",2023-09-24
"Woronora Dam","92%","2023-09-24 07:13:58",2023-09-24
"How Much Rain have We had?","0.0MM","2023-09-24 07:13:58",2023-09-24
"How Much Water is in Our Dams?","90%","2023-09-24 07:13:58",2023-09-24
"How Much Water have we Used","1,563ML","2023-09-24 07:13:58",2023-09-24
