"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-28 07:15:48",2023-09-28
"Blue Mountains Dams","87%","2023-09-28 07:15:48",2023-09-28
"Cataract Dam","66%","2023-09-28 07:15:48",2023-09-28
"Cordeaux Dam","70%","2023-09-28 07:15:48",2023-09-28
"Fitzroy Falls Reservoir","70%","2023-09-28 07:15:48",2023-09-28
"Nepean Dam","73%","2023-09-28 07:15:48",2023-09-28
"Prospect Reservoir","92%","2023-09-28 07:15:48",2023-09-28
"Tallowa Dam","13%","2023-09-28 07:15:48",2023-09-28
"Warragamba Dam","94%","2023-09-28 07:15:48",2023-09-28
"Wingecarribee Reservoir","65%","2023-09-28 07:15:48",2023-09-28
"Woronora Dam","92%","2023-09-28 07:15:48",2023-09-28
"How Much Rain have We had?","3.1MM","2023-09-28 07:15:48",2023-09-28
"How Much Water is in Our Dams?","90%","2023-09-28 07:15:48",2023-09-28
"How Much Water have we Used","1,467ML","2023-09-28 07:15:48",2023-09-28
