"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-02 07:16:09",2023-11-02
"Blue Mountains Dams","83%","2023-11-02 07:16:09",2023-11-02
"Cataract Dam","65%","2023-11-02 07:16:09",2023-11-02
"Cordeaux Dam","65%","2023-11-02 07:16:09",2023-11-02
"Fitzroy Falls Reservoir","63%","2023-11-02 07:16:09",2023-11-02
"Nepean Dam","69%","2023-11-02 07:16:09",2023-11-02
"Prospect Reservoir","86%","2023-11-02 07:16:09",2023-11-02
"Tallowa Dam","0%","2023-11-02 07:16:09",2023-11-02
"Warragamba Dam","93%","2023-11-02 07:16:09",2023-11-02
"Wingecarribee Reservoir","61%","2023-11-02 07:16:09",2023-11-02
"Woronora Dam","90%","2023-11-02 07:16:09",2023-11-02
"How Much Rain have We had?","0.0MM","2023-11-02 07:16:09",2023-11-02
"How Much Water is in Our Dams?","88%","2023-11-02 07:16:09",2023-11-02
"How Much Water have we Used","1,595ML","2023-11-02 07:16:09",2023-11-02
