"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-09 07:13:57",2023-09-09
"Blue Mountains Dams","87%","2023-09-09 07:13:57",2023-09-09
"Cataract Dam","66%","2023-09-09 07:13:57",2023-09-09
"Cordeaux Dam","74%","2023-09-09 07:13:57",2023-09-09
"Fitzroy Falls Reservoir","72%","2023-09-09 07:13:57",2023-09-09
"Nepean Dam","73%","2023-09-09 07:13:57",2023-09-09
"Prospect Reservoir","92%","2023-09-09 07:13:57",2023-09-09
"Tallowa Dam","10%","2023-09-09 07:13:57",2023-09-09
"Warragamba Dam","94%","2023-09-09 07:13:57",2023-09-09
"Wingecarribee Reservoir","66%","2023-09-09 07:13:57",2023-09-09
"Woronora Dam","93%","2023-09-09 07:13:57",2023-09-09
"How Much Rain have We had?","0.0MM","2023-09-09 07:13:57",2023-09-09
"How Much Water is in Our Dams?","91%","2023-09-09 07:13:57",2023-09-09
"How Much Water have we Used","1,343ML","2023-09-09 07:13:57",2023-09-09
