"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-25 07:14:19",2023-11-25
"Blue Mountains Dams","84%","2023-11-25 07:14:19",2023-11-25
"Cataract Dam","68%","2023-11-25 07:14:19",2023-11-25
"Cordeaux Dam","64%","2023-11-25 07:14:19",2023-11-25
"Fitzroy Falls Reservoir","63%","2023-11-25 07:14:19",2023-11-25
"Nepean Dam","69%","2023-11-25 07:14:19",2023-11-25
"Prospect Reservoir","90%","2023-11-25 07:14:19",2023-11-25
"Tallowa Dam","0%","2023-11-25 07:14:19",2023-11-25
"Warragamba Dam","91%","2023-11-25 07:14:19",2023-11-25
"Wingecarribee Reservoir","59%","2023-11-25 07:14:19",2023-11-25
"Woronora Dam","90%","2023-11-25 07:14:19",2023-11-25
"How Much Rain have We had?","12.4MM","2023-11-25 07:14:19",2023-11-25
"How Much Water is in Our Dams?","87%","2023-11-25 07:14:19",2023-11-25
"How Much Water have we Used","1,531ML","2023-11-25 07:14:19",2023-11-25
