"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-30 07:04:12",2023-11-30
"Blue Mountains Dams","87%","2023-11-30 07:04:12",2023-11-30
"Cataract Dam","69%","2023-11-30 07:04:12",2023-11-30
"Cordeaux Dam","64%","2023-11-30 07:04:12",2023-11-30
"Fitzroy Falls Reservoir","69%","2023-11-30 07:04:12",2023-11-30
"Nepean Dam","71%","2023-11-30 07:04:12",2023-11-30
"Prospect Reservoir","89%","2023-11-30 07:04:12",2023-11-30
"Tallowa Dam","100%","2023-11-30 07:04:12",2023-11-30
"Warragamba Dam","92%","2023-11-30 07:04:12",2023-11-30
"Wingecarribee Reservoir","60%","2023-11-30 07:04:12",2023-11-30
"Woronora Dam","90%","2023-11-30 07:04:12",2023-11-30
"How Much Rain have We had?","23.4MM","2023-11-30 07:04:12",2023-11-30
"How Much Water is in Our Dams?","88%","2023-11-30 07:04:12",2023-11-30
"How Much Water have we Used","1,408ML","2023-11-30 07:04:12",2023-11-30
