"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-26 07:14:37",2023-11-26
"Blue Mountains Dams","86%","2023-11-26 07:14:37",2023-11-26
"Cataract Dam","68%","2023-11-26 07:14:37",2023-11-26
"Cordeaux Dam","64%","2023-11-26 07:14:37",2023-11-26
"Fitzroy Falls Reservoir","63%","2023-11-26 07:14:37",2023-11-26
"Nepean Dam","69%","2023-11-26 07:14:37",2023-11-26
"Prospect Reservoir","90%","2023-11-26 07:14:37",2023-11-26
"Tallowa Dam","0%","2023-11-26 07:14:37",2023-11-26
"Warragamba Dam","91%","2023-11-26 07:14:37",2023-11-26
"Wingecarribee Reservoir","59%","2023-11-26 07:14:37",2023-11-26
"Woronora Dam","90%","2023-11-26 07:14:37",2023-11-26
"How Much Rain have We had?","3.7MM","2023-11-26 07:14:37",2023-11-26
"How Much Water is in Our Dams?","87%","2023-11-26 07:14:37",2023-11-26
"How Much Water have we Used","1,522ML","2023-11-26 07:14:37",2023-11-26
