"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-07-31 07:16:17",2023-07-31
"Blue Mountains Dams","82%","2023-07-31 07:16:17",2023-07-31
"Cataract Dam","67%","2023-07-31 07:16:17",2023-07-31
"Cordeaux Dam","82%","2023-07-31 07:16:17",2023-07-31
"Fitzroy Falls Reservoir","64%","2023-07-31 07:16:17",2023-07-31
"Nepean Dam","74%","2023-07-31 07:16:17",2023-07-31
"Prospect Reservoir","92%","2023-07-31 07:16:17",2023-07-31
"Tallowa Dam","51%","2023-07-31 07:16:17",2023-07-31
"Warragamba Dam","96%","2023-07-31 07:16:17",2023-07-31
"Wingecarribee Reservoir","69%","2023-07-31 07:16:17",2023-07-31
"Woronora Dam","96%","2023-07-31 07:16:17",2023-07-31
"How Much Rain have We had?","0.0MM","2023-07-31 07:16:17",2023-07-31
"How Much Water is in Our Dams?","92%","2023-07-31 07:16:17",2023-07-31
"How Much Water have we Used","1,337ML","2023-07-31 07:16:17",2023-07-31
