"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-05 07:14:17",2023-08-05
"Blue Mountains Dams","82%","2023-08-05 07:14:17",2023-08-05
"Cataract Dam","67%","2023-08-05 07:14:17",2023-08-05
"Cordeaux Dam","81%","2023-08-05 07:14:17",2023-08-05
"Fitzroy Falls Reservoir","64%","2023-08-05 07:14:17",2023-08-05
"Nepean Dam","74%","2023-08-05 07:14:17",2023-08-05
"Prospect Reservoir","92%","2023-08-05 07:14:17",2023-08-05
"Tallowa Dam","48%","2023-08-05 07:14:17",2023-08-05
"Warragamba Dam","96%","2023-08-05 07:14:17",2023-08-05
"Wingecarribee Reservoir","68%","2023-08-05 07:14:17",2023-08-05
"Woronora Dam","95%","2023-08-05 07:14:17",2023-08-05
"How Much Rain have We had?","0.2MM","2023-08-05 07:14:17",2023-08-05
"How Much Water is in Our Dams?","92%","2023-08-05 07:14:17",2023-08-05
"How Much Water have we Used","1,367ML","2023-08-05 07:14:17",2023-08-05
