"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-01 07:16:09",2023-08-01
"Blue Mountains Dams","82%","2023-08-01 07:16:09",2023-08-01
"Cataract Dam","67%","2023-08-01 07:16:09",2023-08-01
"Cordeaux Dam","82%","2023-08-01 07:16:09",2023-08-01
"Fitzroy Falls Reservoir","64%","2023-08-01 07:16:09",2023-08-01
"Nepean Dam","74%","2023-08-01 07:16:09",2023-08-01
"Prospect Reservoir","92%","2023-08-01 07:16:09",2023-08-01
"Tallowa Dam","50%","2023-08-01 07:16:09",2023-08-01
"Warragamba Dam","96%","2023-08-01 07:16:09",2023-08-01
"Wingecarribee Reservoir","68%","2023-08-01 07:16:09",2023-08-01
"Woronora Dam","96%","2023-08-01 07:16:09",2023-08-01
"How Much Rain have We had?","0.0MM","2023-08-01 07:16:09",2023-08-01
"How Much Water is in Our Dams?","92%","2023-08-01 07:16:09",2023-08-01
"How Much Water have we Used","1,334ML","2023-08-01 07:16:09",2023-08-01
