"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-19 07:13:32",2023-08-19
"Blue Mountains Dams","85%","2023-08-19 07:13:32",2023-08-19
"Cataract Dam","67%","2023-08-19 07:13:32",2023-08-19
"Cordeaux Dam","78%","2023-08-19 07:13:32",2023-08-19
"Fitzroy Falls Reservoir","74%","2023-08-19 07:13:32",2023-08-19
"Nepean Dam","73%","2023-08-19 07:13:32",2023-08-19
"Prospect Reservoir","93%","2023-08-19 07:13:32",2023-08-19
"Tallowa Dam","42%","2023-08-19 07:13:32",2023-08-19
"Warragamba Dam","95%","2023-08-19 07:13:32",2023-08-19
"Wingecarribee Reservoir","68%","2023-08-19 07:13:32",2023-08-19
"Woronora Dam","95%","2023-08-19 07:13:32",2023-08-19
"How Much Rain have We had?","0.3MM","2023-08-19 07:13:32",2023-08-19
"How Much Water is in Our Dams?","92%","2023-08-19 07:13:32",2023-08-19
"How Much Water have we Used","1,291ML","2023-08-19 07:13:32",2023-08-19
