"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-15 07:16:10",2023-11-15
"Blue Mountains Dams","84%","2023-11-15 07:16:10",2023-11-15
"Cataract Dam","68%","2023-11-15 07:16:10",2023-11-15
"Cordeaux Dam","65%","2023-11-15 07:16:10",2023-11-15
"Fitzroy Falls Reservoir","64%","2023-11-15 07:16:10",2023-11-15
"Nepean Dam","69%","2023-11-15 07:16:10",2023-11-15
"Prospect Reservoir","96%","2023-11-15 07:16:10",2023-11-15
"Tallowa Dam","0%","2023-11-15 07:16:10",2023-11-15
"Warragamba Dam","92%","2023-11-15 07:16:10",2023-11-15
"Wingecarribee Reservoir","60%","2023-11-15 07:16:10",2023-11-15
"Woronora Dam","91%","2023-11-15 07:16:10",2023-11-15
"How Much Rain have We had?","0.0MM","2023-11-15 07:16:10",2023-11-15
"How Much Water is in Our Dams?","88%","2023-11-15 07:16:10",2023-11-15
"How Much Water have we Used","1,405ML","2023-11-15 07:16:10",2023-11-15
