"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-08-29 07:15:28",2023-08-29
"Blue Mountains Dams","86%","2023-08-29 07:15:28",2023-08-29
"Cataract Dam","67%","2023-08-29 07:15:28",2023-08-29
"Cordeaux Dam","76%","2023-08-29 07:15:28",2023-08-29
"Fitzroy Falls Reservoir","74%","2023-08-29 07:15:28",2023-08-29
"Nepean Dam","73%","2023-08-29 07:15:28",2023-08-29
"Prospect Reservoir","93%","2023-08-29 07:15:28",2023-08-29
"Tallowa Dam","32%","2023-08-29 07:15:28",2023-08-29
"Warragamba Dam","95%","2023-08-29 07:15:28",2023-08-29
"Wingecarribee Reservoir","68%","2023-08-29 07:15:28",2023-08-29
"Woronora Dam","94%","2023-08-29 07:15:28",2023-08-29
"How Much Rain have We had?","1.8MM","2023-08-29 07:15:28",2023-08-29
"How Much Water is in Our Dams?","91%","2023-08-29 07:15:28",2023-08-29
"How Much Water have we Used","10,027ML","2023-08-29 07:15:28",2023-08-29
