"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-28 07:14:41",2023-07-28
"Blue Mountains Dams","82%","2023-07-28 07:14:41",2023-07-28
"Cataract Dam","67%","2023-07-28 07:14:41",2023-07-28
"Cordeaux Dam","82%","2023-07-28 07:14:41",2023-07-28
"Fitzroy Falls Reservoir","63%","2023-07-28 07:14:41",2023-07-28
"Nepean Dam","75%","2023-07-28 07:14:41",2023-07-28
"Prospect Reservoir","92%","2023-07-28 07:14:41",2023-07-28
"Tallowa Dam","53%","2023-07-28 07:14:41",2023-07-28
"Warragamba Dam","96%","2023-07-28 07:14:41",2023-07-28
"Wingecarribee Reservoir","69%","2023-07-28 07:14:41",2023-07-28
"Woronora Dam","96%","2023-07-28 07:14:41",2023-07-28
"How Much Rain have We had?","0.0MM","2023-07-28 07:14:41",2023-07-28
"How Much Water is in Our Dams?","92%","2023-07-28 07:14:41",2023-07-28
"How Much Water have we Used","1,326ML","2023-07-28 07:14:41",2023-07-28
