"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-29 09:30:07",2023-11-29
"Blue Mountains Dams","87%","2023-11-29 09:30:07",2023-11-29
"Cataract Dam","68%","2023-11-29 09:30:07",2023-11-29
"Cordeaux Dam","64%","2023-11-29 09:30:07",2023-11-29
"Fitzroy Falls Reservoir","66%","2023-11-29 09:30:07",2023-11-29
"Nepean Dam","69%","2023-11-29 09:30:07",2023-11-29
"Prospect Reservoir","89%","2023-11-29 09:30:07",2023-11-29
"Tallowa Dam","70%","2023-11-29 09:30:07",2023-11-29
"Warragamba Dam","91%","2023-11-29 09:30:07",2023-11-29
"Wingecarribee Reservoir","60%","2023-11-29 09:30:07",2023-11-29
"Woronora Dam","90%","2023-11-29 09:30:07",2023-11-29
"How Much Rain have We had?","58.7MM","2023-11-29 09:30:07",2023-11-29
"How Much Water is in Our Dams?","87%","2023-11-29 09:30:07",2023-11-29
"How Much Water have we Used","1,437ML","2023-11-29 09:30:07",2023-11-29
