"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-25 07:15:54",2023-10-25
"Blue Mountains Dams","84%","2023-10-25 07:15:54",2023-10-25
"Cataract Dam","66%","2023-10-25 07:15:54",2023-10-25
"Cordeaux Dam","66%","2023-10-25 07:15:54",2023-10-25
"Fitzroy Falls Reservoir","65%","2023-10-25 07:15:54",2023-10-25
"Nepean Dam","71%","2023-10-25 07:15:54",2023-10-25
"Prospect Reservoir","82%","2023-10-25 07:15:54",2023-10-25
"Tallowa Dam","9%","2023-10-25 07:15:54",2023-10-25
"Warragamba Dam","93%","2023-10-25 07:15:54",2023-10-25
"Wingecarribee Reservoir","62%","2023-10-25 07:15:54",2023-10-25
"Woronora Dam","91%","2023-10-25 07:15:54",2023-10-25
"How Much Rain have We had?","0.0MM","2023-10-25 07:15:54",2023-10-25
"How Much Water is in Our Dams?","89%","2023-10-25 07:15:54",2023-10-25
"How Much Water have we Used","1,612ML","2023-10-25 07:15:54",2023-10-25
