"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-05 07:15:01",2023-11-05
"Blue Mountains Dams","83%","2023-11-05 07:15:01",2023-11-05
"Cataract Dam","67%","2023-11-05 07:15:01",2023-11-05
"Cordeaux Dam","66%","2023-11-05 07:15:01",2023-11-05
"Fitzroy Falls Reservoir","64%","2023-11-05 07:15:01",2023-11-05
"Nepean Dam","69%","2023-11-05 07:15:01",2023-11-05
"Prospect Reservoir","89%","2023-11-05 07:15:01",2023-11-05
"Tallowa Dam","0%","2023-11-05 07:15:01",2023-11-05
"Warragamba Dam","93%","2023-11-05 07:15:01",2023-11-05
"Wingecarribee Reservoir","61%","2023-11-05 07:15:01",2023-11-05
"Woronora Dam","91%","2023-11-05 07:15:01",2023-11-05
"How Much Rain have We had?","7.7MM","2023-11-05 07:15:01",2023-11-05
"How Much Water is in Our Dams?","88%","2023-11-05 07:15:01",2023-11-05
"How Much Water have we Used","1,602ML","2023-11-05 07:15:01",2023-11-05
