"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-13 07:16:08",2023-11-13
"Blue Mountains Dams","84%","2023-11-13 07:16:08",2023-11-13
"Cataract Dam","68%","2023-11-13 07:16:08",2023-11-13
"Cordeaux Dam","65%","2023-11-13 07:16:08",2023-11-13
"Fitzroy Falls Reservoir","64%","2023-11-13 07:16:08",2023-11-13
"Nepean Dam","69%","2023-11-13 07:16:08",2023-11-13
"Prospect Reservoir","96%","2023-11-13 07:16:08",2023-11-13
"Tallowa Dam","0%","2023-11-13 07:16:08",2023-11-13
"Warragamba Dam","92%","2023-11-13 07:16:08",2023-11-13
"Wingecarribee Reservoir","60%","2023-11-13 07:16:08",2023-11-13
"Woronora Dam","91%","2023-11-13 07:16:08",2023-11-13
"How Much Rain have We had?","0.0MM","2023-11-13 07:16:08",2023-11-13
"How Much Water is in Our Dams?","88%","2023-11-13 07:16:08",2023-11-13
"How Much Water have we Used","1,370ML","2023-11-13 07:16:08",2023-11-13
