"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-27 07:15:18",2023-07-27
"Blue Mountains Dams","82%","2023-07-27 07:15:18",2023-07-27
"Cataract Dam","67%","2023-07-27 07:15:18",2023-07-27
"Cordeaux Dam","82%","2023-07-27 07:15:18",2023-07-27
"Fitzroy Falls Reservoir","64%","2023-07-27 07:15:18",2023-07-27
"Nepean Dam","75%","2023-07-27 07:15:18",2023-07-27
"Prospect Reservoir","92%","2023-07-27 07:15:18",2023-07-27
"Tallowa Dam","54%","2023-07-27 07:15:18",2023-07-27
"Warragamba Dam","96%","2023-07-27 07:15:18",2023-07-27
"Wingecarribee Reservoir","69%","2023-07-27 07:15:18",2023-07-27
"Woronora Dam","96%","2023-07-27 07:15:18",2023-07-27
"How Much Rain have We had?","0.0MM","2023-07-27 07:15:18",2023-07-27
"How Much Water is in Our Dams?","92%","2023-07-27 07:15:18",2023-07-27
"How Much Water have we Used","1,330ML","2023-07-27 07:15:18",2023-07-27
