"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-16 07:16:23",2023-10-16
"Blue Mountains Dams","86%","2023-10-16 07:16:23",2023-10-16
"Cataract Dam","66%","2023-10-16 07:16:23",2023-10-16
"Cordeaux Dam","66%","2023-10-16 07:16:23",2023-10-16
"Fitzroy Falls Reservoir","66%","2023-10-16 07:16:23",2023-10-16
"Nepean Dam","72%","2023-10-16 07:16:23",2023-10-16
"Prospect Reservoir","77%","2023-10-16 07:16:23",2023-10-16
"Tallowa Dam","13%","2023-10-16 07:16:23",2023-10-16
"Warragamba Dam","94%","2023-10-16 07:16:23",2023-10-16
"Wingecarribee Reservoir","63%","2023-10-16 07:16:23",2023-10-16
"Woronora Dam","91%","2023-10-16 07:16:23",2023-10-16
"How Much Rain have We had?","0.0MM","2023-10-16 07:16:23",2023-10-16
"How Much Water is in Our Dams?","89%","2023-10-16 07:16:23",2023-10-16
"How Much Water have we Used","1,562ML","2023-10-16 07:16:23",2023-10-16
