"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-03 07:10:39",2023-12-03
"Blue Mountains Dams","88%","2023-12-03 07:10:39",2023-12-03
"Cataract Dam","70%","2023-12-03 07:10:39",2023-12-03
"Cordeaux Dam","65%","2023-12-03 07:10:39",2023-12-03
"Fitzroy Falls Reservoir","68%","2023-12-03 07:10:39",2023-12-03
"Nepean Dam","72%","2023-12-03 07:10:39",2023-12-03
"Prospect Reservoir","88%","2023-12-03 07:10:39",2023-12-03
"Tallowa Dam","100%","2023-12-03 07:10:39",2023-12-03
"Warragamba Dam","92%","2023-12-03 07:10:39",2023-12-03
"Wingecarribee Reservoir","62%","2023-12-03 07:10:39",2023-12-03
"Woronora Dam","90%","2023-12-03 07:10:39",2023-12-03
"How Much Rain have We had?","3.8MM","2023-12-03 07:10:39",2023-12-03
"How Much Water is in Our Dams?","88%","2023-12-03 07:10:39",2023-12-03
"How Much Water have we Used","1,341ML","2023-12-03 07:10:39",2023-12-03
