"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-22 07:16:08",2023-11-22
"Blue Mountains Dams","84%","2023-11-22 07:16:08",2023-11-22
"Cataract Dam","68%","2023-11-22 07:16:08",2023-11-22
"Cordeaux Dam","64%","2023-11-22 07:16:08",2023-11-22
"Fitzroy Falls Reservoir","63%","2023-11-22 07:16:08",2023-11-22
"Nepean Dam","69%","2023-11-22 07:16:08",2023-11-22
"Prospect Reservoir","92%","2023-11-22 07:16:08",2023-11-22
"Tallowa Dam","0%","2023-11-22 07:16:08",2023-11-22
"Warragamba Dam","91%","2023-11-22 07:16:08",2023-11-22
"Wingecarribee Reservoir","59%","2023-11-22 07:16:08",2023-11-22
"Woronora Dam","90%","2023-11-22 07:16:08",2023-11-22
"How Much Rain have We had?","2.3MM","2023-11-22 07:16:08",2023-11-22
"How Much Water is in Our Dams?","87%","2023-11-22 07:16:08",2023-11-22
"How Much Water have we Used","1,491ML","2023-11-22 07:16:08",2023-11-22
