"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-11 07:14:10",2023-11-11
"Blue Mountains Dams","84%","2023-11-11 07:14:10",2023-11-11
"Cataract Dam","68%","2023-11-11 07:14:10",2023-11-11
"Cordeaux Dam","65%","2023-11-11 07:14:10",2023-11-11
"Fitzroy Falls Reservoir","64%","2023-11-11 07:14:10",2023-11-11
"Nepean Dam","69%","2023-11-11 07:14:10",2023-11-11
"Prospect Reservoir","95%","2023-11-11 07:14:10",2023-11-11
"Tallowa Dam","0%","2023-11-11 07:14:10",2023-11-11
"Warragamba Dam","92%","2023-11-11 07:14:10",2023-11-11
"Wingecarribee Reservoir","60%","2023-11-11 07:14:10",2023-11-11
"Woronora Dam","91%","2023-11-11 07:14:10",2023-11-11
"How Much Rain have We had?","0.2MM","2023-11-11 07:14:10",2023-11-11
"How Much Water is in Our Dams?","88%","2023-11-11 07:14:10",2023-11-11
"How Much Water have we Used","1,381ML","2023-11-11 07:14:10",2023-11-11
